x,y,z,time,fragment_id
0.0473,5.6611,7.9957,1604480264978,0
0.2548,5.3125,8.2701,1604480264997,0
0.203,5.3698,8.2322,1604480265018,0
0.4024,5.4484,8.0546,1604480265038,0
-2.0994,6.3137,6.8469,1604480265298,0
-1.7793,6.1572,7.7141,1604480265318,0
-1.8613,6.7215,8.0515,1604480265338,0
-1.7282,6.5038,7.7879,1604480265357,0
-0.7593,5.3697,7.5639,1604480265678,0
-0.7819,5.3747,8.2031,1604480265698,0
-0.5102,5.2426,8.4681,1604480265718,0
-0.946,4.7716,8.2481,1604480265857,0
-1.1773,5.6954,8.0759,1604480265878,0
-1.0547,5.3788,8.2649,1604480265898,0
-1.1713,5.3782,8.865,1604480266078,0
-1.066,5.0266,9.1041,1604480266098,0
-1.4113,5.3812,8.6608,1604480266318,0
-0.9026,5.4707,8.3542,1604480266338,0
-2.0762,5.6695,7.1565,1604480266498,0
-1.455,6.3598,7.9367,1604480266518,0
-1.3574,5.7359,8.4777,1604480266538,0
-0.3188,4.5916,8.262,1604480266777,0
-0.4845,4.9511,8.6458,1604480266798,0
0.1323,4.5017,8.6411,1604480266957,0
0.1194,4.3329,8.8533,1604480266978,0
0.7474,3.8405,8.9884,1604480266998,0
-0.1646,9.3546,-2.8182,1604480624678,1
-0.3857,9.6781,-2.6472,1604480624697,1
-0.493,9.8111,-1.6955,1604480624718,1
-0.7045,9.9384,-1.2992,1604480624738,1
0.0167,9.4379,-2.0372,1604480624758,1
-0.6874,9.6382,-3.7445,1604480625018,1
-0.5156,9.8015,-2.2687,1604480625038,1
-0.6868,9.8388,-1.7247,1604480625057,1
-0.6082,9.764,-1.7705,1604480625078,1
-0.9051,9.8844,-4.1847,1604480625537,1
-0.5424,10.0816,-2.787,1604480625558,1
-1.0239,9.9798,-1.8285,1604480625578,1
-0.8368,9.9017,-2.2319,1604480625597,1
-0.1181,9.6242,-2.6586,1604480625878,1
-0.2771,9.8553,-2.549,1604480625897,1
-0.2391,9.7756,-2.6133,1604480625917,1
-0.4959,9.7151,-2.8807,1604480626237,1
-0.414,10.0201,-2.7934,1604480626257,1
-0.616,9.8177,-1.5376,1604480626278,1
0.0982,9.5143,-2.2892,1604480626657,1
0.3041,9.4952,-2.3883,1604480626677,1
-0.0146,9.6137,-1.7677,1604480626698,1
0.1067,9.4403,-1.6237,1604480626717,1
-0.5309,10.0534,-2.9646,1604480626878,1
-0.7233,10.1406,-2.3605,1604480626898,1
-0.9501,10.1932,-1.9725,1604480626918,1
0.2062,9.262,-2.0112,1604480627218,1
0.1082,9.7456,-2.155,1604480627237,1
0.3012,9.7723,-0.8757,1604480627258,1
0.3902,9.4619,-0.8034,1604480627278,1
-0.2057,9.6945,-4.4058,1604480627617,1
-0.1637,9.916,-3.4664,1604480627638,1
-0.607,9.7666,-2.2212,1604480627658,1
-0.1818,9.8022,-2.0704,1604480627678,1
0.997,1.9363,9.6756,1604480773498,2
1.1594,2.0515,9.7801,1604480773518,2
0.8549,2.2563,9.6318,1604480773538,2
0.9494,2.2248,8.7841,1604480773557,2
0.2903,1.8813,9.8322,1604480773858,2
-0.3128,2.2085,10.9944,1604480773878,2
-0.3767,2.1587,10.7577,1604480773898,2
0.3101,1.2395,11.4572,1604480774277,2
0.1079,1.5075,11.3571,1604480774298,2
0.3718,1.5248,10.4861,1604480774318,2
-0.8817,1.6168,9.1008,1604480774557,2
-0.8019,1.734,8.7791,1604480774578,2
-0.7549,1.5096,9.1506,1604480774597,2
-0.8646,2.5275,9.0346,1604480774898,2
-1.1803,2.3719,9.0773,1604480774917,2
-1.1357,2.2472,9.6888,1604480774938,2
-0.9517,2.1194,9.5197,1604480774957,2
-1.1839,2.1618,10.9109,1604480775278,2
-1.2402,2.8062,10.6475,1604480775298,2
-0.6486,2.5208,9.9332,1604480775318,2
-0.8109,2.2162,8.4751,1604480775537,2
-0.3139,2.4439,8.593,1604480775557,2
-0.5944,1.9103,9.0598,1604480775578,2
0.041,1.4282,10.4063,1604480775897,2
0.5356,1.6438,9.6763,1604480775917,2
1.1119,1.3762,9.4571,1604480775938,2
0.9613,1.9063,9.0169,1604480776177,2
1.1867,1.5319,9.362,1604480776197,2
0.5775,2.0605,10.0713,1604480776218,2
0.3145,1.7613,10.3093,1604480776238,2
-0.2519,5.7691,7.9314,1604480258398,3
-0.1091,5.7079,8.1092,1604480258418,3
-0.241,5.7486,8.0638,1604480258438,3
0.113,5.5214,8.0643,1604480258458,3
-1.4827,5.9439,6.3712,1604480258698,3
-1.3575,5.947,7.8539,1604480258718,3
-1.4892,6.1714,8.2038,1604480258738,3
-0.2217,4.8171,8.4253,1604480259078,3
-0.6133,5.1174,8.8042,1604480259098,3
-0.5122,5.0315,8.9171,1604480259117,3
-0.5335,5.0842,8.0424,1604480259277,3
-1.081,5.2877,8.2131,1604480259297,3
-0.2311,4.8508,8.1065,1604480259477,3
-0.325,4.652,8.9324,1604480259498,3
-0.4284,4.5843,9.5004,1604480259518,3
-0.9558,4.9831,8.9047,1604480259718,3
-0.7926,5.3113,8.6634,1604480259737,3
-1.062,5.2672,8.4793,1604480259918,3
-1.5024,6.259,8.7278,1604480259937,3
-1.7931,5.8739,8.9675,1604480259958,3
0.5106,3.7757,9.4416,1604480260218,3
0.1593,4.212,8.9005,1604480260238,3
0.1331,4.0478,8.8748,1604480260258,3
-0.0205,4.2664,9.2018,1604480260277,3
0.4929,4.0674,7.7716,1604480260458,3
0.0924,4.3237,8.0941,1604480260478,3
-0.3737,4.4377,9.3908,1604480260497,3
-0.6071,4.4148,9.7262,1604480260518,3
1.0549,2.6769,9.3502,1604480881998,4
0.9061,2.5209,9.6901,1604480882017,4
0.8868,2.6217,9.6302,1604480882037,4
1.1732,2.6769,9.2598,1604480882057,4
1.1388,2.7434,8.8455,1604480882078,4
-0.8665,3.1883,9.2597,1604480882338,4
-0.7143,3.5931,9.4979,1604480882358,4
-0.5293,3.1135,9.2325,1604480882378,4
0.0722,2.6171,9.8086,1604480882698,4
0.1283,2.5846,9.963,1604480882718,4
-0.6868,2.1891,9.6055,1604480882938,4
-0.9146,2.7522,9.2496,1604480882958,4
-0.7545,1.936,9.9514,1604480882977,4
-0.7585,1.7523,9.8963,1604480883238,4
-1.4293,1.8774,9.952,1604480883257,4
-1.1757,1.8229,10.2858,1604480883278,4
-0.8197,1.6241,9.9529,1604480883298,4
-1.4395,1.9555,10.0933,1604480883577,4
-1.7216,2.6159,10.2645,1604480883598,4
-1.6664,2.8788,9.7784,1604480883618,4
-1.2508,2.5409,9.182,1604480883638,4
-2.4112,3.0329,9.5329,1604480883798,4
-2.3694,3.5978,9.7646,1604480883818,4
-2.2124,3.2469,9.9292,1604480883838,4
-1.2283,2.687,9.8146,1604480883857,4
-1.0137,2.0175,10.078,1604480884118,4
-0.8194,2.2801,9.6283,1604480884138,4
-0.5101,2.2091,9.8296,1604480884158,4
0.2555,1.4894,9.0971,1604480884377,4
0.1198,1.5361,9.6379,1604480884398,4
0.2595,1.5604,9.3903,1604480884417,4
0.77,0.8885,8.8484,1604480884437,4
0.6971,5.311,7.9737,1604540794541,5
0.6838,5.2267,8.3297,1604540794561,5
0.6516,5.2107,8.3348,1604540794580,5
-1.2864,5.4459,7.7841,1604540794980,5
-1.2673,5.7245,8.3995,1604540795000,5
-1.3749,6.1958,8.2214,1604540795020,5
0.3302,4.6389,8.8089,1604540795440,5
-0.0487,4.648,9.0144,1604540795460,5
0.1815,4.6368,8.8606,1604540795480,5
-0.6143,4.7255,8.4556,1604540795660,5
-0.6289,4.6628,8.735,1604540795680,5
-0.4469,5.2322,8.3977,1604540795700,5
-0.2824,5.0002,9.6158,1604540795720,5
0.2129,4.523,9.4819,1604540795960,5
0.1365,4.6147,8.7921,1604540795980,5
0.197,4.2945,8.8729,1604540796000,5
-0.6001,4.7435,8.8909,1604540796320,5
0.0633,4.7586,8.8655,1604540796340,5
-1.035,4.9279,8.6552,1604540796520,5
-0.5539,5.3359,9.0441,1604540796540,5
-0.3907,5.0561,8.9401,1604540796561,5
0.0337,4.2536,8.8526,1604540796860,5
0.3002,4.1847,8.4222,1604540796880,5
0.3335,4.714,9.2976,1604540796900,5
0.6251,4.3292,8.1857,1604540797140,5
0.5225,4.328,8.7483,1604540797160,5
0.4945,4.165,8.9975,1604540797180,5
0.4083,4.8788,8.5467,1604540781181,6
0.6436,4.7806,8.9652,1604540781200,6
0.6019,4.866,8.9473,1604540781220,6
0.7106,4.8243,9.0587,1604540781240,6
0.7109,4.6921,8.4703,1604540781260,6
-1.6324,5.9614,6.8281,1604540781541,6
-1.2981,5.5602,7.8797,1604540781560,6
-0.9387,5.6775,8.4928,1604540781580,6
-0.8101,5.5042,8.7216,1604540781600,6
-0.0806,4.5421,8.7264,1604540782040,6
-0.1428,4.5489,8.5686,1604540782060,6
-0.0017,4.3611,8.6918,1604540782080,6
-0.6958,4.6386,8.6449,1604540782280,6
-0.5666,4.7311,8.7702,1604540782301,6
-0.6664,4.5534,9.261,1604540782321,6
-0.235,4.4839,8.8361,1604540782540,6
-0.3591,4.5942,9.1298,1604540782561,6
-0.3245,4.3695,9.3739,1604540782580,6
-0.6357,4.5921,9.1526,1604540782901,6
-0.3039,4.4706,9.0303,1604540782921,6
-1.2269,4.8454,8.2109,1604540783100,6
-0.8145,5.1451,9.4352,1604540783120,6
-0.7652,5.1344,9.5447,1604540783140,6
0.1999,3.9669,8.3509,1604540783440,6
0.1683,4.5133,8.2463,1604540783460,6
0.1643,4.4024,9.2234,1604540783480,6
0.6532,3.9548,9.7147,1604540783680,6
0.2774,4.046,8.797,1604540783700,6
0.5946,5.2078,8.4395,1604540745580,7
0.4376,5.2602,8.3282,1604540745600,7
0.6321,5.23,8.3781,1604540745620,7
-0.9512,5.1105,7.9158,1604540745940,7
-1.0862,5.4683,8.5278,1604540745960,7
-1.1981,6.0177,8.6203,1604540745980,7
0.21,4.5653,8.8563,1604540746380,7
0.1663,4.6467,8.8417,1604540746401,7
0.3374,4.3995,8.7192,1604540746420,7
-0.8237,4.6261,8.4281,1604540746601,7
-0.7552,4.7005,9.1087,1604540746620,7
-0.5435,5.0304,8.8959,1604540746640,7
-0.2331,4.5638,9.3111,1604540746660,7
-0.1157,4.5257,8.8932,1604540746900,7
-0.293,4.5253,8.8612,1604540746920,7
-0.2203,4.4698,9.2009,1604540746940,7
0.1192,4.196,8.6851,1604540746961,7
-0.4902,4.281,8.9998,1604540747280,7
-0.5541,4.8336,8.9564,1604540747301,7
-0.4836,4.984,8.945,1604540747320,7
-1.3654,5.0233,8.4865,1604540747520,7
-1.0724,5.2455,9.0296,1604540747540,7
-0.6587,4.686,9.1852,1604540747560,7
-0.0019,4.0878,8.7681,1604540747900,7
-0.1344,4.4803,8.922,1604540747920,7
-0.0829,4.4133,9.5947,1604540747940,7
0.3087,3.8958,8.9408,1604540748181,7
0.756,3.8441,8.8672,1604540748200,7
0.4288,3.8758,8.6671,1604540748221,7
0.6072,3.775,8.6675,1604540748240,7
1.3108,3.9491,8.8479,1604637791621,8
1.1545,3.7723,8.7794,1604637791642,8
1.2216,3.8275,8.4976,1604637791661,8
1.2403,3.9544,8.6979,1604637791681,8
1.1428,3.9145,8.6495,1604637791702,8
-0.4662,4.6247,7.594,1604637791902,8
0.024,3.7721,9.6669,1604637791921,8
-0.0331,3.9948,9.8874,1604637791942,8
-0.1293,4.1917,9.9145,1604637791962,8
0.3875,3.5814,9.4794,1604637792282,8
0.2974,3.5933,9.6158,1604637792301,8
0.2953,3.3254,9.1612,1604637792442,8
0.3981,3.5144,9.5264,1604637792462,8
0.4804,3.7432,9.5427,1604637792482,8
0.158,3.7686,8.6181,1604637792642,8
0.3501,3.4037,9.0226,1604637792662,8
0.7141,3.4428,9.4395,1604637792681,8
